"Status of Canada's migratory bird populations within each primary wintering area, 1970-2010","","","","","",""
"Primary Wintering Area","Strong Increase (Number of Species)","Increase (Number of Species)","Little Change (Number of Species)","Decrease (Number of Species)","Strong Decrease (Number of Species)","Total"
"Canada","18","6","10","7","11","52"
"United States","19","17","32","18","25","111"
"Central America","12","9","21","13","19","74"
"South America","5","5","7","7","31","55"
"","","","","","",""
"Note: Bird species whose populations increased by more than 33% from 1970 to 2010 are classified as increasing. Species that have declined by more than 25% are classified as decreasing.  Species that have experienced smaller increases or decreases are assigned to the little-change category.","","","","","",""
"","","","","","",""
"Bird Species Wintering in Canada","","","","","",""
"Strong Increase (18)","Increase (6)","Little Change (10)","Decrease (7)","Strong Decrease (11)","",""
"Spruce Grouse","Barred Owl","Ruffed Grouse","Great Horned Owl","King Eider","",""
"Wild Turkey","Downy Woodpecker","Sharp-tailed Grouse","Long-eared Owl","Willow Ptarmigan","",""
"Gyrfalcon","Blue Jay","Northern Goshawk","Chestnut-backed Chickadee","White-tailed Ptarmigan","",""
"Northern Hawk Owl","Clark's Nutcracker","Red-breasted Sapsucker","Boreal Chickadee","Purple Sandpiper","",""
"Great Gray Owl","Northwestern Crow","Gray Jay","Bohemian Waxwing","Snowy Owl","",""
"Boreal Owl","Pygmy Nuthatch","Steller's Jay","Pine Grosbeak","Black-backed Woodpecker","",""
"Red-bellied Woodpecker","","Black-billed Magpie","Red Crossbill","Bewick's Wren","",""
"Hairy Woodpecker","","Mountain Chickadee","","Northern Mockingbird","",""
"American Three-toed Woodpecker","","Bushtit","","Snow Bunting","",""
"Pileated Woodpecker","","Brown Creeper","","Common Redpoll","",""
"Hutton's Vireo","","","","Hoary Redpoll","",""
"Common Raven","","","","","",""
"Black-capped Chickadee","","","","","",""
"Red-breasted Nuthatch","","","","","",""
"White-breasted Nuthatch","","","","","",""
"Northern Cardinal","","","","","",""
"House Finch","","","","","",""
"White-winged Crossbill","","","","","",""
"","","","","","",""
"","","","","","",""
"Bird Species Wintering in the United States","","","","","",""
"Strong Increase (19)","Increase (17)","Little Change (32)","Decrease (18)","Strong Decrease (25)","",""
"Snow Goose","Tundra Swan","Brant","Yellow-billed Loon","American Wigeon","",""
"Ross's Goose","Gadwall","American Black Duck","Horned Grebe","Northern Pintail","",""
"Cackling Goose","Green-winged Teal","Mallard","Great Blue Heron","Lesser Scaup","",""
"Canada Goose","Redhead","Canvasback","Marbled Godwit","White-winged Scoter","",""
"Wood Duck","Greater Scaup","Surf Scoter","American Woodcock","Northern Harrier","",""
"Ring-necked Duck","Common Goldeneye","Black Scoter","Belted Kingfisher","American Kestrel","",""
"Bufflehead","Barrow's Goldeneye","Pied-billed Grebe","Northern Flicker","Killdeer","",""
"Hooded Merganser","Common Loon","Red-necked Grebe","Eastern Phoebe","Mew Gull","",""
"Common Merganser","Red-tailed Hawk","Cooper's Hawk","Mountain Bluebird","Short-eared Owl","",""
"Bald Eagle","Dunlin","Red-shouldered Hawk","Varied Thrush","Red-headed Woodpecker","",""
"Sharp-shinned Hawk","Rock Wren","Rough-legged Hawk","Brown Thrasher","Loggerhead Shrike","",""
"Ferruginous Hawk","Winter Wren","American Coot","American Pipit","Horned Lark","",""
"Yellow Rail","Sedge Wren","Piping Plover","Field Sparrow","Townsend's Solitaire","",""
"Sandhill Crane","Hermit Thrush","Wilson's Snipe","Le Conte's Sparrow","Chestnut-collared Longspur","",""
"Bonaparte's Gull","Cedar Waxwing","Yellow-bellied Sapsucker","Dark-eyed Junco","McCown's Longspur","",""
"Blue-headed Vireo","Smith's Longspur","American Crow","Red-winged Blackbird","American Tree Sparrow","",""
"Eastern Bluebird","Spotted Towhee","Marsh Wren","Brewer's Blackbird","Fox Sparrow","",""
"Pine Warbler","","Golden-crowned Kinglet","Brown-headed Cowbird","Harris's Sparrow","",""
"Nelson's Sparrow","","Ruby-crowned Kinglet","","Eastern Meadowlark","",""
"","","American Robin","","Western Meadowlark","",""
"","","Lapland Longspur","","Rusty Blackbird","",""
"","","Orange-crowned Warbler","","Purple Finch","",""
"","","Yellow-rumped Warbler","","Cassin's Finch","",""
"","","Eastern Towhee","","Pine Siskin","",""
"","","Vesper Sparrow","","Evening Grosbeak","",""
"","","Savannah Sparrow","","","",""
"","","Song Sparrow","","","",""
"","","Swamp Sparrow","","","",""
"","","White-throated Sparrow","","","",""
"","","White-crowned Sparrow","","","",""
"","","Common Grackle","","","",""
"","","American Goldfinch","","","",""
"","","","","","",""
"","","","","","",""
"Bird Species Wintering in Central America","","","","","",""
"Strong Increase (12)","Increase (9)","Little Change (21)","Decrease (13)","Strong Decrease (19)","",""
"Cinnamon Teal","California Gull","Sora","Greater White-fronted Goose","Eared Grebe","",""
"Western Grebe","Cassin's Vireo","American Avocet","American Bittern","Black-crowned Night-Heron","",""
"American White Pelican","Warbling Vireo","Long-billed Curlew","Green Heron","Forster's Tern","",""
"Virginia Rail","Philadelphia Vireo","Red Phalarope","Caspian Tern","Whip-poor-will","",""
"Ruby-throated Hummingbird","Northern Parula","Calliope Hummingbird","Dusky Flycatcher","Vaux's Swift","",""
"Pacific-slope Flycatcher","Magnolia Warbler","Red-naped Sapsucker","Great Crested Flycatcher","Rufous Hummingbird","",""
"Say's Phoebe","Black-throated Green Warbler","Hammond's Flycatcher","Tree Swallow","Yellow-bellied Flycatcher","",""
"Black-throated Blue Warbler","Western Tanager","Western Kingbird","Violet-green Swallow","Least Flycatcher","",""
"Palm Warbler","Indigo Bunting","Yellow-throated Vireo","Gray Catbird","Northern Rough-winged Swallow","",""
"Lark Sparrow","","House Wren","Tennessee Warbler","Wood Thrush","",""
"Lazuli Bunting","","Ovenbird","MacGillivray's Warbler","Sprague's Pipit","",""
"Orchard Oriole","","Black-and-white Warbler","Black-throated Gray Warbler","Cape May Warbler","",""
"","","Nashville Warbler","Clay-colored Sparrow","Wilson's Warbler","",""
"","","Common Yellowthroat","","Lark Bunting","",""
"","","Chestnut-sided Warbler","","Grasshopper Sparrow","",""
"","","Townsend's Warbler","","Baird's Sparrow","",""
"","","Chipping Sparrow","","Rose-breasted Grosbeak","",""
"","","Brewer's Sparrow","","Yellow-headed Blackbird","",""
"","","Lincoln's Sparrow","","Baltimore Oriole","",""
"","","Black-headed Grosbeak","","","",""
"","","Bullock's Oriole","","","",""
"","","","","","",""
"","","","","","",""
"Bird Species Wintering in South America","","","","","",""
"Strong Increase (5)","Increase (5)","Little Change (7)","Decrease (7)","Strong Decrease (31)","",""
"Turkey Vulture","Solitary Sandpiper","Broad-winged Hawk","Upland Sandpiper","Spotted Sandpiper","",""
"Osprey","Greater Yellowlegs","Swainson's Hawk","Alder Flycatcher","Lesser Yellowlegs","",""
"Peregrine Falcon","Red-necked Phalarope","Sanderling","Willow Flycatcher","Hudsonian Godwit","",""
"White-rumped Sandpiper","Red-eyed Vireo","Buff-breasted Sandpiper","Eastern Kingbird","Ruddy Turnstone","",""
"Golden-winged Warbler","Blackburnian Warbler","Wilson's Phalarope","Northern Waterthrush","Red Knot","",""
"","","Swainson's Thrush","American Redstart","Least Sandpiper","",""
"","","Yellow Warbler","Scarlet Tanager","Baird's Sandpiper","",""
"","","","","Pectoral Sandpiper","",""
"","","","","Stilt Sandpiper","",""
"","","","","Franklin's Gull","",""
"","","","","Black Tern","",""
"","","","","Yellow-billed Cuckoo","",""
"","","","","Black-billed Cuckoo","",""
"","","","","Common Nighthawk","",""
"","","","","Black Swift","",""
"","","","","Chimney Swift","",""
"","","","","Olive-sided Flycatcher","",""
"","","","","Western Wood-Pewee","",""
"","","","","Eastern Wood-Pewee","",""
"","","","","Purple Martin","",""
"","","","","Bank Swallow","",""
"","","","","Cliff Swallow","",""
"","","","","Barn Swallow","",""
"","","","","Veery","",""
"","","","","Gray-cheeked Thrush","",""
"","","","","Connecticut Warbler","",""
"","","","","Mourning Warbler","",""
"","","","","Bay-breasted Warbler","",""
"","","","","Blackpoll Warbler","",""
"","","","","Canada Warbler","",""
"","","","","Bobolink","",""
