Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Acadian Flycatcher,Empidonax virescens,,Birds,Ontario,Endangered,Schedule 1,Endangered
Acadian Redfish,Sebastes fasciatus,Atlantic population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
Acadian Redfish,Sebastes fasciatus,Bonne Bay population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Alkaline Wing-nerved Moss,Pterygoneurum kozlovii,,Mosses,"British Columbia, Saskatchewan",Threatened,Schedule 1,Threatened
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Carolinian population,Amphibians,Ontario,Endangered,Schedule 1,Endangered
Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,Great Lakes / St. Lawrence population,Amphibians,Quebec,Threatened,Schedule 1,Threatened
American Badger jacksoni subspecies,Taxidea taxus jacksoni,,Mammals,Ontario,Endangered,Schedule 1,Endangered
American Badger jeffersonii subspecies,Taxidea taxus jeffersonii,,Mammals,British Columbia,Non-active,Schedule 1,Endangered
American Badger jeffersonii subspecies,Taxidea taxus jeffersonii,Western population,Mammals,British Columbia,Endangered,No schedule,No Status
American Badger jeffersonii subspecies,Taxidea taxus jeffersonii,Eastern population,Mammals,British Columbia,Endangered,No schedule,No Status
American Badger taxus subspecies,Taxidea taxus taxus,,Mammals,"Alberta, Saskatchewan, Manitoba, Ontario",Special Concern,No schedule,No Status
American Black Bear,Ursus americanus,,Mammals,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
American Burying Beetle,Nicrophorus americanus,,Arthropods,"Ontario, Quebec",Extirpated,No schedule,No Status
American Chestnut,Castanea dentata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
American Columbo,Frasera caroliniensis,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
American Coot,Fulica americana,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
American Eel,Anguilla rostrata,,Fishes,"Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Threatened,No schedule,No Status
American Ginseng,Panax quinquefolius,,Vascular Plants,"Ontario, Quebec",Endangered,Schedule 1,Endangered
American Marten,Martes americana atrata,Newfoundland population,Mammals,Newfoundland and Labrador,Threatened,Schedule 1,Threatened
American Plaice,Hippoglossoides platessoides,Newfoundland and Labrador population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
American Plaice,Hippoglossoides platessoides,Maritime population,Fishes,Atlantic Ocean,Threatened,No schedule,No Status
American Water-willow,Justicia americana,,Vascular Plants,"Ontario, Quebec",Threatened,Schedule 1,Threatened
American White Pelican,Pelecanus erythrorhynchos,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario",Not at Risk,,
Ancient Murrelet,Synthliboramphus antiquus,,Birds,British Columbia,Special Concern,Schedule 1,Special Concern
Anticosti Aster,Symphyotrichum anticostense,,Vascular Plants,"Quebec, New Brunswick",Threatened,Schedule 1,Threatened
Athabasca Thrift,Armeria maritima ssp. interior,,Vascular Plants,Saskatchewan,Special Concern,Schedule 1,Special Concern
Atlantic Bluefin Tuna,Thunnus thynnus,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,,Fishes,Atlantic Ocean,Non-active,Schedule 3,Special Concern
Atlantic Cod,Gadus morhua,Newfoundland and Labrador population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Laurentian North population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Arctic Lakes population,Fishes,Nunavut,Special Concern,No schedule,No Status
Atlantic Cod,Gadus morhua,Laurentian South population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Cod,Gadus morhua,Southern population,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Atlantic Halibut,Hippoglossus hippoglossus,,Fishes,Atlantic Ocean,Not at Risk,,
Atlantic Mud-piddock,Barnea truncata,,Molluscs,Atlantic Ocean,Threatened,No schedule,No Status
Atlantic Salmon,Salmo salar,Inner Bay of Fundy population,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Endangered,Schedule 1,Endangered
Atlantic Salmon,Salmo salar,Lake Ontario population,Fishes,"Ontario, Atlantic Ocean",Extinct,No schedule,No Status
Atlantic Salmon,Salmo salar,Labrador population,Fishes,"Quebec, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Northeast Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,South Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Salmon,Salmo salar,Southwest Newfoundland population,Fishes,"Quebec, Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Northwest Newfoundland population,Fishes,"Newfoundland and Labrador, Atlantic Ocean",Not at Risk,,
Atlantic Salmon,Salmo salar,Quebec Eastern North Shore population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Quebec Western North Shore population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Anticosti Island population,Fishes,"Quebec, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Inner St. Lawrence population,Fishes,"Quebec, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Gaspe-Southern Gulf of St. Lawrence population,Fishes,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Atlantic Ocean",Special Concern,No schedule,No Status
Atlantic Salmon,Salmo salar,Eastern Cape Breton population,Fishes,"Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Nova Scotia Southern Upland population,Fishes,"Nova Scotia, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Salmon,Salmo salar,Outer Bay of Fundy population,Fishes,"New Brunswick, Atlantic Ocean",Endangered,No schedule,No Status
Atlantic Sturgeon,Acipenser oxyrinchus,St. Lawrence populations,Fishes,"Quebec, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Sturgeon,Acipenser oxyrinchus,Maritimes populations,Fishes,"New Brunswick, Nova Scotia, Atlantic Ocean",Threatened,No schedule,No Status
Atlantic Walrus,Odobenus rosmarus rosmarus,Northwest Atlantic population,Mammals,"Quebec, New Brunswick, Nova Scotia, Newfoundland and Labrador, Atlantic Ocean",Non-active,Schedule 1,Extirpated
Atlantic Walrus,Odobenus rosmarus rosmarus,,Mammals,"Nunavut, Manitoba, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Arctic Ocean",Special Concern,No schedule,No Status
Atlantic White-sided Dolphin,Lagenorhynchus acutus,,Mammals,Atlantic Ocean,Not at Risk,,
Atlantic Whitefish,Coregonus huntsmani,,Fishes,Nova Scotia,Endangered,Schedule 1,Endangered
Atlantic Wolffish,Anarhichas lupus,,Fishes,"Arctic Ocean, Atlantic Ocean",Special Concern,Schedule 1,Special Concern
Audouinês Night-stalking Tiger Beetle,Omus audouini,,Arthropods,British Columbia,Threatened,,
Aurora Trout,Salvelinus fontinalis timagamiensis,,Fishes,Ontario,Non-active,Schedule 1,Endangered
Aweme Borer,Papaipema aweme,,Arthropods,Ontario,Endangered,Schedule 1,Endangered
Baikal Sedge,Carex sabulosa,,Vascular Plants,Yukon,Threatened,Schedule 1,Threatened
Baird's Beaked Whale,Berardius bairdii,,Mammals,Pacific Ocean,Not at Risk,,
Baird's Sparrow,Ammodramus bairdii,,Birds,"Alberta, Saskatchewan, Manitoba",Special Concern,No schedule,No Status
Bald Eagle,Haliaeetus leucocephalus,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Band-tailed Pigeon,Patagioenas fasciata,,Birds,British Columbia,Special Concern,Schedule 1,Special Concern
Banded Cord-moss,Entosthodon fascicularis,,Mosses,British Columbia,Special Concern,Schedule 1,Special Concern
Banded Killifish,Fundulus diaphanus,Newfoundland populations,Fishes,Newfoundland and Labrador,Special Concern,Schedule 1,Special Concern
Banded Killifish,Fundulus diaphanus,Mainland populations,Fishes,"Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Banff Longnose Dace,Rhinichthys cataractae smithi,,Fishes,Alberta,Extinct,,
Banff Springs Snail,Physella johnsoni,,Molluscs,Alberta,Endangered,Schedule 1,Endangered
Bank Swallow,Riparia riparia,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Threatened,No schedule,No Status
Barn Owl,Tyto alba,Western population,Birds,British Columbia,Threatened,Schedule 1,Special Concern
Barn Owl,Tyto alba,Eastern population,Birds,Ontario,Endangered,Schedule 1,Endangered
Barn Swallow,Hirundo rustica,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Threatened,No schedule,No Status
Barndoor Skate,Dipturus laevis,,Fishes,Atlantic Ocean,Not at Risk,,
Barren-ground Caribou,Rangifer tarandus groenlandicus,Dolphin and Union population,Mammals,"Northwest Territories, Nunavut",Special Concern,Schedule 1,Special Concern
Barrens Willow,Salix jejuna,,Vascular Plants,Newfoundland and Labrador,Endangered,Schedule 1,Endangered
Barrow's Goldeneye,Bucephala islandica,Eastern population,Birds,"Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Special Concern,Schedule 1,Special Concern
Bashful Bulrush,Trichophorum planifolium,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Basking Shark,Cetorhinus maximus,Atlantic population,Fishes,Atlantic Ocean,Special Concern,No schedule,No Status
Basking Shark,Cetorhinus maximus,Pacific population,Fishes,Pacific Ocean,Endangered,Schedule 1,Endangered
Bathurst Aster,Symphyotrichum subulatum,Bathurst population,Vascular Plants,New Brunswick,Special Concern,Schedule 3,Special Concern
Batwing Vinyl Lichen,Leptogium platynum,,Lichens,British Columbia,Endangered,No schedule,No Status
Beach Pinweed,Lechea maritima,,Vascular Plants,"New Brunswick, Prince Edward Island",Special Concern,Schedule 1,Special Concern
Bear's-foot Sanicle,Sanicula arctopoides,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Bearded Owl-clover,Triphysaria versicolor,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
Behr's Hairstreak,Satyrium behrii,,Arthropods,British Columbia,Endangered,Schedule 1,Threatened
Beluga Whale,Delphinapterus leucas,St. Lawrence Estuary population,Mammals,"Quebec, Atlantic Ocean",Threatened,Schedule 1,Threatened
Beluga Whale,Delphinapterus leucas,Cumberland Sound population,Mammals,"Nunavut, Arctic Ocean",Threatened,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Eastern Hudson Bay population,Mammals,"Nunavut, Quebec, Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Eastern High Arctic - Baffin Bay population,Mammals,"Nunavut, Arctic Ocean",Special Concern,No schedule,No Status
Beluga Whale,Delphinapterus leucas,Ungava Bay population,Mammals,"Quebec, Arctic Ocean, Atlantic Ocean",Endangered,No schedule,No Status
